text,category
diminished hearing headache facial pain neck pain ear pain neck stiffness or tightness nosebleed bleeding from ear,Musculoskeletal
blood in stool fainting nausea diarrhea changes in stool appearance,Digestive
fainting restlessness excessive anger low self-esteem,Mental
blood in stool sharp abdominal pain vomiting diarrhea lower abdominal pain heartburn upper abdominal pain melena rectal bleeding,Digestive
blood in stool sharp abdominal pain vomiting pain of the anus changes in stool appearance,Digestive
leg pain back pain neck pain low back pain paresthesia joint pain,Musculoskeletal
"skin lesion symptoms of the face skin dryness, peeling, scaliness, or roughness skin rash dry or flaky scalp",Skin
sore throat nasal congestion ear pain frontal headache fever coughing up sputum,Respiratory
hostile behavior long menstrual periods antisocial behavior,Mental
blood in stool vomiting nausea burning abdominal pain decreased appetite chills fluid retention flu-like syndrome,Digestive
cough wheezing difficulty breathing coughing up sputum,Respiratory
leg pain back pain neck pain low back pain loss of sensation ache all over,Musculoskeletal
hand or finger pain hand or finger swelling wrist swelling knee pain joint pain elbow swelling joint swelling,Musculoskeletal
"sharp chest pain abnormal involuntary movements leg pain headache back pain low back pain muscle cramps, contractures, or spasms",Musculoskeletal
sharp chest pain symptoms of the scrotum and testes wrist pain neck pain low back pain,Musculoskeletal
shortness of breath hip pain back pain bones are painful rib pain hurts to breath,Musculoskeletal
acne or pimples skin growth,Skin
difficulty speaking nasal congestion coryza,Respiratory
anxiety and nervousness depression insomnia drug abuse fears and phobias low self-esteem,Mental
sharp chest pain chest tightness cough difficulty in swallowing vomiting heartburn upper abdominal pain,Digestive
shortness of breath sharp chest pain sore throat difficulty in swallowing vomiting burning abdominal pain,Digestive
sore throat nasal congestion facial pain difficulty breathing allergic reaction painful sinuses,Respiratory
sore throat nasal congestion ear pain fever coryza painful sinuses,Respiratory
difficulty in swallowing back pain vomiting blood regurgitation heartburn regurgitation.1,Digestive
abnormal appearing skin neck swelling foot or toe pain skin on arm or hand looks infected,Skin
sore throat throat feels tight difficulty in swallowing swollen lymph nodes ear pain,Respiratory
anxiety and nervousness depression depressive or psychotic symptoms insomnia drug abuse restlessness temper problems,Mental
skin swelling abnormal appearing skin symptoms of the face skin irritation skin rash,Skin
skin swelling abnormal appearing skin foot or toe swelling problems during pregnancy unpredictable menstruation itching of skin,Skin
leg pain arm pain neck pain knee pain paresthesia ache all over lower body pain,Musculoskeletal
sharp abdominal pain vaginal itching painful urination lower abdominal pain vaginal pain itching of skin,General
abnormal appearing skin lymphedema skin on leg or foot looks infected fluid retention burning chest pain,General
sharp abdominal pain vomiting nausea diarrhea burning abdominal pain decreased appetite fever stomach bloating,Digestive
sharp abdominal pain blood clots during menstrual periods heavy menstrual flow painful menstruation,General
hip pain back pain low back pain muscle pain low back cramps or spasms,Musculoskeletal
cough skin swelling mouth ulcer fever itching of skin skin rash sore in nose,Skin
sore throat headache ear pain frontal headache itchiness of eye coryza sneezing,Respiratory
abnormal appearing skin skin lesion skin growth hand or finger lump or mass back mass or lump,Skin
anxiety and nervousness diminished hearing mass in scrotum,General
abnormal appearing skin skin lesion swollen lymph nodes skin moles,Skin
sore throat cough vomiting headache wheezing fever chills coryza,Respiratory
nasal congestion vomiting diarrhea temper problems pulling at ears skin rash diaper rash,Skin
retention of urine vomiting nausea lower abdominal pain pain of the anus burning abdominal pain changes in stool appearance,Digestive
shortness of breath vomiting nausea back pain,Digestive
sore throat vomiting decreased appetite fever skin rash,Respiratory
nasal congestion blood in stool diarrhea fever temper problems pulling at ears skin rash diaper rash,Skin
sore throat cough nasal congestion fever difficulty breathing coryza sinus congestion,Respiratory
sharp chest pain chest tightness sore throat cough coughing up sputum coryza,Respiratory
skin swelling skin lesion skin growth skin moles skin rash,Skin
sore throat cough diminished hearing fever coryza redness in ear,General
"skin lesion irregular appearing scalp itching of skin skin dryness, peeling, scaliness, or roughness too little hair",Skin
anxiety and nervousness depression depressive or psychotic symptoms insomnia hostile behavior temper problems,Mental
suprapubic pain sharp abdominal pain nausea painful urination lower abdominal pain vaginal discharge burning abdominal pain,General
acne or pimples skin growth irregular appearing scalp skin moles itching of skin skin rash,Skin
nasal congestion decreased appetite skin rash,Skin
anxiety and nervousness depression insomnia excessive anger,Mental
cough nasal congestion blood in stool vomiting fever skin rash diaper rash,Skin
anxiety and nervousness depression depressive or psychotic symptoms abusing alcohol hostile behavior drug abuse smoking problems sweating,Mental
skin growth foot or toe pain foot or toe swelling irregular appearing nails,Skin
anxiety and nervousness hostile behavior drug abuse delusions or hallucinations temper problems low self-esteem,Mental
problems with movement knee stiffness or tightness leg swelling foot or toe swelling infant feeding problem ankle swelling,Musculoskeletal
jaundice sharp abdominal pain decreased appetite,Digestive
leg pain ankle pain knee stiffness or tightness leg swelling foot or toe swelling ankle swelling,Musculoskeletal
skin swelling abnormal appearing skin irregular appearing scalp skin moles warts skin rash,Skin
shortness of breath insomnia mouth dryness difficulty breathing fatigue apnea,Respiratory
difficulty in swallowing sharp abdominal pain nausea diarrhea burning abdominal pain heartburn,Digestive
dizziness diarrhea pain during pregnancy weakness,General
"skin lesion acne or pimples skin dryness, peeling, scaliness, or roughness itchy scalp skin rash",Skin
shortness of breath chest tightness cough nasal congestion wheezing fever,Respiratory
cough nasal congestion throat feels tight difficulty in swallowing fever coryza,Respiratory
leg pain headache arm pain low back pain problems with movement paresthesia shoulder pain lower body pain,Musculoskeletal
nasal congestion headache decreased appetite fever ache all over,Respiratory
depression depressive or psychotic symptoms insomnia delusions or hallucinations,Mental
nasal congestion facial pain ear pain coryza sinus congestion nosebleed,Respiratory
nasal congestion abnormal appearing skin decreased appetite pulling at ears,Skin
difficulty speaking cough seizures,Mental
wrist swelling weight gain fatigue,General
sharp chest pain dizziness difficulty in swallowing sharp abdominal pain nausea back pain regurgitation burning abdominal pain upper abdominal pain regurgitation.1,Digestive
leg pain headache arm pain back pain neck pain ankle pain shoulder pain,Musculoskeletal
shortness of breath chest tightness vomiting wheezing fever,Respiratory
back pain burning abdominal pain upper abdominal pain symptoms of the kidneys,Digestive
"skin lesion skin moles allergic reaction skin dryness, peeling, scaliness, or roughness skin rash",Skin
anxiety and nervousness depression lack of growth drug abuse restlessness temper problems antisocial behavior,Mental
hand or finger pain elbow pain loss of sensation joint pain,Musculoskeletal
leg pain headache arm pain back pain neck pain low back pain problems with movement paresthesia,Musculoskeletal
hip pain arm pain back pain low back pain paresthesia,Musculoskeletal
dizziness intermenstrual bleeding heartburn weakness fatigue heavy menstrual flow,General
cough headache ear pain frontal headache itchiness of eye,Respiratory
hip pain wrist pain hand or finger swelling arm pain knee pain shoulder pain,Musculoskeletal
cough skin swelling abnormal appearing skin mouth ulcer fever,Skin
skin lesion acne or pimples skin growth irregular appearing scalp itching of skin skin irritation,Skin
nasal congestion difficulty breathing coughing up sputum coryza congestion in chest,Respiratory
"skin lesion skin growth skin moles itching of skin skin dryness, peeling, scaliness, or roughness",Skin
painful urination penis redness diaper rash,General
sharp chest pain insomnia abnormal involuntary movements palpitations increased heart rate fears and phobias,Mental
sore throat cough nasal congestion facial pain frontal headache fever coughing up sputum coryza sinus congestion,Respiratory
retention of urine pain of the anus changes in stool appearance,Digestive
sore throat nausea,Respiratory
abnormal appearing skin skin lesion irregular appearing scalp warts,Skin
nausea weakness fluid retention,General
"skin swelling lip swelling irregular appearing scalp skin moles skin dryness, peeling, scaliness, or roughness warts",Skin
dizziness blood in stool fainting sharp abdominal pain vomiting nausea weakness changes in stool appearance melena,Digestive
vomiting headache diminished vision blindness symptoms of the face disturbance of memory,General
lack of growth hostile behavior restlessness delusions or hallucinations temper problems antisocial behavior,Mental
leg pain neck pain loss of sensation shoulder pain ache all over,Musculoskeletal
leg pain hip pain problems with movement loss of sensation,Musculoskeletal
shortness of breath vomiting headache nausea abnormal appearing skin peripheral edema allergic reaction itching of skin skin rash,Skin
"skin lesion acne or pimples skin growth irregular appearing scalp symptoms of the face skin dryness, peeling, scaliness, or roughness dry or flaky scalp",Skin
sore throat cough fever sinus congestion painful sinuses,Respiratory
"lack of growth abnormal appearing skin skin lesion acne or pimples irregular appearing scalp skin moles skin dryness, peeling, scaliness, or roughness skin rash",Skin
hoarse voice sore throat difficulty speaking throat swelling throat feels tight,Respiratory
anxiety and nervousness insomnia abnormal involuntary movements sleepiness abnormal breathing sounds,Mental
anxiety and nervousness depressive or psychotic symptoms dizziness palpitations,Mental
leg pain problems with movement loss of sensation arm weakness leg weakness,General
anxiety and nervousness depression insomnia abusing alcohol drug abuse excessive anger disturbance of memory temper problems,Mental
"abnormal appearing skin skin lesion skin growth skin dryness, peeling, scaliness, or roughness too little hair dry or flaky scalp",Skin
hip pain back pain pelvic pain knee pain ache all over groin pain,Musculoskeletal
sharp chest pain abnormal involuntary movements fainting delusions or hallucinations,Mental
shortness of breath fatigue,Respiratory
sharp chest pain vomiting nausea lower abdominal pain back pain neck pain side pain,Musculoskeletal
skin swelling abnormal appearing skin irregular appearing scalp itching of skin skin irritation,Skin
leg pain back cramps or spasms,Musculoskeletal
sharp chest pain leg pain arm pain,Musculoskeletal
sore throat cough heartburn upper abdominal pain,Digestive
nasal congestion skin swelling mouth ulcer fever skin rash,Skin
sharp chest pain nausea burning abdominal pain lower body pain hemoptysis,Digestive
vaginal itching involuntary urination pain during intercourse vaginal discharge,General
skin swelling swelling of scrotum sharp abdominal pain arm swelling,Skin
shortness of breath leg pain leg swelling weakness hemoptysis,Respiratory
nasal congestion headache ear pain,Respiratory
groin mass abnormal appearing skin itching of skin,Skin
sore throat cough nasal congestion vomiting ear pain ache all over chills skin rash,Respiratory
sore throat cough nasal congestion facial pain ear pain fever difficulty breathing coryza painful sinuses nosebleed,Respiratory
vomiting lower abdominal pain burning abdominal pain fever upper abdominal pain stomach bloating,Digestive
"skin swelling abnormal appearing skin skin lesion skin moles skin dryness, peeling, scaliness, or roughness skin irritation skin rash",Skin
depressive or psychotic symptoms insomnia excessive appetite excessive anger delusions or hallucinations,Mental
focal weakness stiffness all over,General
abnormal involuntary movements difficulty speaking problems with movement focal weakness disturbance of memory delusions or hallucinations,Mental
skin swelling pain in testicles abnormal appearing skin skin lesion,Digestive
blood in stool vomiting vomiting blood weakness rectal bleeding,Digestive
shortness of breath groin mass vomiting nausea intermenstrual bleeding side pain,Digestive
depression abusing alcohol acne or pimples weight gain,Mental
skin swelling skin lesion irregular appearing scalp itchy scalp,Skin
pain in testicles involuntary urination frequent urination blood in urine impotence symptoms of prostate excessive urination at night,General
jaundice sharp abdominal pain nausea diarrhea peripheral edema weakness side pain,Digestive
anxiety and nervousness depression delusions or hallucinations obsessions and compulsions,Mental
dizziness difficulty in swallowing sharp abdominal pain regurgitation regurgitation.1,Digestive
depression depressive or psychotic symptoms hostile behavior vomiting blood smoking problems low self-esteem,Mental
depression depressive or psychotic symptoms hostile behavior drug abuse restlessness antisocial behavior,Mental
vaginal itching problems during pregnancy fluid retention itching of skin itchy scalp,Skin
wrist pain bones are painful hand or finger cramps or spasms,Musculoskeletal
sore throat cough frontal headache lacrimation coryza,Respiratory
depressive or psychotic symptoms insomnia abusing alcohol delusions or hallucinations temper problems,Mental
skin swelling vomiting itching of skin,Skin
skin swelling abnormal appearing skin skin lesion skin moles itching of skin,Skin
sore throat nasal congestion vomiting headache decreased appetite ache all over,Respiratory
leg pain sharp abdominal pain vomiting back pain,Musculoskeletal
retention of urine sharp abdominal pain blood in urine side pain,General
vomiting headache lower body pain,General
headache back pain problems during pregnancy spotting or bleeding during pregnancy cramps and spasms,General
hip pain back pain knee weakness leg swelling joint pain,Musculoskeletal
fainting vomiting headache nausea weakness,General
skin swelling abnormal appearing skin irregular appearing scalp warts skin rash,Skin
shortness of breath sharp chest pain chest tightness cough leg swelling decreased heart rate fever,Respiratory
abnormal appearing skin skin growth foot or toe pain skin on leg or foot looks infected skin rash,Skin
cough headache facial pain fever nosebleed,Respiratory
"skin swelling abnormal appearing skin skin growth irregular appearing scalp skin moles itching of skin skin dryness, peeling, scaliness, or roughness itchy scalp",Skin
sharp abdominal pain headache nausea burning abdominal pain fever chills,Digestive
sharp chest pain palpitations irregular heartbeat groin mass difficulty breathing lymphedema,General
depressive or psychotic symptoms difficulty speaking lack of growth hostile behavior restlessness temper problems fears and phobias antisocial behavior,Mental
nasal congestion coughing up sputum sinus congestion,Respiratory
sharp chest pain abusing alcohol sharp abdominal pain nausea diarrhea back pain burning abdominal pain side pain hemoptysis,Digestive
cramps and spasms heavy menstrual flow unpredictable menstruation infertility frequent menstruation,General
anxiety and nervousness insomnia delusions or hallucinations temper problems fears and phobias low self-esteem hysterical behavior,Mental
depressive or psychotic symptoms insomnia abusing alcohol drug abuse excessive anger disturbance of memory temper problems,Mental
chest tightness cough nasal congestion wheezing fever difficulty breathing coryza,Respiratory
hand or finger pain wrist pain bones are painful joint pain,Musculoskeletal
abnormal appearing skin skin growth itching of skin,Skin
anxiety and nervousness depression abusing alcohol hostile behavior drug abuse excessive anger disturbance of memory delusions or hallucinations temper problems,Mental
anxiety and nervousness depression depressive or psychotic symptoms lack of growth feeling ill,Mental
"abnormal appearing skin irregular appearing scalp symptoms of the face skin dryness, peeling, scaliness, or roughness skin irritation",Skin
vomiting facial pain neck pain rib pain,General
skin lesion skin growth irregular appearing scalp itching of skin skin irritation warts skin rash,Skin
nausea hand or finger swelling peripheral edema,General
lower abdominal pain burning abdominal pain side pain chills constipation,Digestive
dizziness hoarse voice difficulty speaking diminished hearing ringing in ear plugged feeling in ear fluid in ear low self-esteem,General
pain of the anus heartburn lower body pain,Digestive
lip swelling toothache mouth ulcer,Musculoskeletal
fainting problems with movement weakness frontal headache,General
depression smoking problems delusions or hallucinations,Mental
wrist swelling foot or toe pain ankle pain foot or toe swelling joint pain,Musculoskeletal
cough fever skin rash,Skin
sharp chest pain dizziness chest tightness fainting weight gain decreased heart rate fatigue,General
abnormal involuntary movements difficulty speaking problems with movement weakness focal weakness disturbance of memory stiffness all over,General
skin swelling abnormal appearing skin skin growth neck mass skin moles,Skin
insomnia hostile behavior excessive anger temper problems fears and phobias hysterical behavior,Mental
"abnormal appearing skin acne or pimples itching of skin skin dryness, peeling, scaliness, or roughness too little hair dry or flaky scalp",Skin
facial pain peripheral edema gum pain,General
depression depressive or psychotic symptoms sharp chest pain insomnia palpitations fears and phobias,Mental
toothache ear pain jaw swelling neck swelling gum pain skin irritation,General
depressive or psychotic symptoms difficulty speaking lack of growth restlessness delusions or hallucinations temper problems fears and phobias,Mental
abnormal appearing skin skin lesion foot or toe pain foot or toe swelling irregular appearing nails skin rash,Skin
dizziness insomnia headache arm pain neck pain low back pain,Musculoskeletal
sharp chest pain chest tightness cough nasal congestion weakness,Respiratory
shortness of breath headache fever difficulty breathing coryza congestion in chest,Respiratory
anxiety and nervousness depression insomnia hostile behavior drug abuse disturbance of memory,Mental
leg pain hip pain back pain low back pain problems with movement paresthesia shoulder pain,Musculoskeletal
sharp abdominal pain vomiting nausea burning abdominal pain fever upper abdominal pain chills,Digestive
sharp chest pain dizziness abnormal involuntary movements vomiting seizures antisocial behavior,Mental
nasal congestion irritable infant wheezing decreased appetite pulling at ears hurts to breath,Respiratory
sore throat headache ear pain difficulty breathing sinus congestion,Respiratory
sore throat nasal congestion ear pain frontal headache lacrimation coryza,Respiratory
depression depressive or psychotic symptoms drug abuse pain during pregnancy problems during pregnancy,Mental
shortness of breath nausea intermenstrual bleeding side pain,Digestive
sharp chest pain palpitations leg swelling weakness difficulty breathing,General
abusing alcohol drug abuse headache smoking problems hemoptysis hurts to breath,Mental
difficulty speaking constipation long menstrual periods antisocial behavior,Mental
shortness of breath fever difficulty breathing chills coryza,Respiratory
irregular appearing scalp skin moles itching of skin itchy scalp skin rash,Skin
lacrimation allergic reaction sneezing,Respiratory
"skin swelling abnormal appearing skin skin moles long menstrual periods skin dryness, peeling, scaliness, or roughness skin rash",Skin
